BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2002 |   1 |   3 |     0 |     3 |    0 |     3
 2002 |   2 |   2 |    22 |    22 |    0 |    44
 2002 |   2 |   3 |    12 |     6 |    0 |    18
 2002 |   3 |   3 |   718 |   718 |    0 |  1436
 2003 |   1 |   1 |  9792 |  9792 |    0 | 19584
 2003 |   1 |   2 |    58 |    36 |    0 |    94
 2003 |   1 |   3 |    23 |    24 |    0 |    47
 2003 |   2 |   2 |  5773 |  5773 |    4 | 11550
 2003 |   2 |   3 |   217 |   137 |    0 |   354
 2003 |   3 |   3 |  8412 |  8412 |    0 | 16824
 2004 |   1 |   1 |  9600 |  9600 |    0 | 19200
 2004 |   1 |   2 |    46 |    25 |    0 |    71
 2004 |   1 |   3 |    31 |    39 |    0 |    70
 2004 |   2 |   2 |  6970 |  6970 |    0 | 13940
 2004 |   2 |   3 |   275 |   143 |    0 |   418
 2004 |   3 |   3 | 10236 | 10236 |    0 | 20472
 2005 |   1 |   1 |  9252 |  9252 |    0 | 18504
 2005 |   1 |   2 |    69 |    64 |    0 |   133
 2005 |   1 |   3 |    51 |    29 |    0 |    80
 2005 |   2 |   2 |  5935 |  5935 |    0 | 11870
 2005 |   2 |   3 |   189 |    94 |    0 |   283
 2005 |   3 |   3 |  9516 |  9516 |    0 | 19032
 2006 |   1 |   1 |  9394 |  9394 |    0 | 18788
 2006 |   1 |   2 |    77 |    26 |    0 |   103
 2006 |   1 |   3 |    60 |    48 |    0 |   108
 2006 |   2 |   2 |  6701 |  6701 |    0 | 13402
 2006 |   2 |   3 |   121 |   126 |    0 |   247
 2006 |   3 |   3 | 10525 | 10525 |    0 | 21050
 2007 |   1 |   1 |  9758 |  9758 |    0 | 19516
 2007 |   1 |   2 |    48 |    62 |    0 |   110
 2007 |   1 |   3 |    51 |    51 |    0 |   102
 2007 |   2 |   2 |  7050 |  7050 |    0 | 14100
 2007 |   2 |   3 |   139 |    70 |    0 |   209
 2007 |   3 |   3 | 10561 | 10561 |    0 | 21122
 2008 |   1 |   1 | 10018 | 10018 |    0 | 20036
 2008 |   1 |   2 |    50 |    38 |    0 |    88
 2008 |   1 |   3 |    48 |    41 |    0 |    89
 2008 |   2 |   2 |  7728 |  7728 |    0 | 15456
 2008 |   2 |   3 |   143 |   112 |    0 |   255
 2008 |   3 |   3 | 10825 | 10825 |    0 | 21650
 2009 |   1 |   1 |  9917 |  9917 |    0 | 19834
 2009 |   1 |   2 |    70 |    71 |    0 |   141
 2009 |   1 |   3 |    70 |    56 |    0 |   126
 2009 |   2 |   2 |  7656 |  7656 |    0 | 15312
 2009 |   2 |   3 |   164 |   113 |    0 |   277
 2009 |   3 |   3 | 11262 | 11262 |    0 | 22524
 2010 |   1 |   1 |  9998 |  9998 |    0 | 19996
 2010 |   1 |   2 |    49 |    30 |    0 |    79
 2010 |   1 |   3 |    60 |    27 |    0 |    87
 2010 |   2 |   2 |  8075 |  8075 |    0 | 16150
 2010 |   2 |   3 |   109 |    63 |    0 |   172
 2010 |   3 |   3 | 11658 | 11658 |    0 | 23316
 2011 |   1 |   1 | 10078 | 10078 |    0 | 20156
 2011 |   1 |   2 |    37 |    34 |    0 |    71
 2011 |   1 |   3 |    64 |    54 |    0 |   118
 2011 |   2 |   2 |  7182 |  7182 |    0 | 14364
 2011 |   2 |   3 |   121 |    90 |    0 |   211
 2011 |   3 |   3 | 11638 | 11638 |    0 | 23276
 2012 |   1 |   1 |  9982 |  9982 |    0 | 19964
 2012 |   1 |   2 |    40 |    32 |    0 |    72
 2012 |   2 |   2 |  7853 |  7853 |    0 | 15706
 2012 |   2 |   3 |   120 |    99 |    0 |   219
 2012 |   3 |   3 | 11969 | 11969 |    0 | 23938
 2013 |   1 |   1 | 10062 | 10062 |    0 | 20124
 2013 |   1 |   2 |    20 |    14 |    0 |    34
 2013 |   1 |   3 |     4 |     2 |    0 |     6
 2013 |   2 |   2 |  7892 |  7892 |    0 | 15784
 2013 |   2 |   3 |    99 |    75 |    0 |   174
 2013 |   3 |   3 | 11897 | 11897 |    0 | 23794
 2014 |   1 |   1 | 10256 | 10256 |    0 | 20512
 2014 |   1 |   2 |    27 |    16 |    0 |    43
 2014 |   1 |   3 |     4 |     0 |    0 |     4
 2014 |   2 |   2 |  8560 |  8560 |    0 | 17120
 2014 |   2 |   3 |    48 |    60 |    0 |   108
 2014 |   3 |   3 | 12208 | 12208 |    0 | 24416
 2015 |   1 |   1 | 10274 | 10274 |    0 | 20548
 2015 |   1 |   2 |    17 |    14 |    0 |    31
 2015 |   2 |   2 |  8278 |  8278 |    0 | 16556
 2015 |   2 |   3 |    86 |    20 |    0 |   106
 2015 |   3 |   3 | 12404 | 12404 |    0 | 24808
(80 rows)

COMMIT
