game_id	section_id	player_id	player_name	player_url	position	minutes_played	field_goals_made	field_goals_attempted	three_point_field_goals	three_point_field_goals_attempted	free_throws	free_throws_attempted	points	offensive_rebounds	defensive_rebounds	total_rebounds	assists	turnovers	steals	blocks	fouls
2647433	0	1133822	Baska, Megan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1133822	0	3	0	0	0	0	0	1	1	1	16	1	0	0	0	1	0
2647433	0	1133827	Clark, Sadie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1133827	0	3	0	5	7	20	0	1	0	0	0	0	0	1	1	5	0
2647433	0	1133823	Crncic, Shelby	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1133823	0	3	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
2647433	0	1455297	Gerig, Jackie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455297	0	3	1	5	2	16	0	3	0	2	2	0	0	1	0	5	0
2647433	0	1455300	Kemp, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455300	0	3	1	6	3	24	0	2	1	0	6	0	0	0	0	7	0
2647433	0	1455301	Reis, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455301	0	3	1	10	0	15	0	0	1	2	0	0	0	1	0	11	0
2647433	0	1455302	Schaedig, Markie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455302	0	3	1	0	0	0	0	1	0	0	6	0	0	0	0	0	0
2647433	0	1342832	Sullivan, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1342832	0	3	1	7	4	22	0	0	0	0	0	0	0	1	0	7	0
2647433	0	1455304	Warrington, Mallory	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455304	0	3	1	4	3	10	0	26	0	1	7	0	0	0	0	4	2
2647433	0	1455296	Davis, Kendal	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455296	0	2	0	0	1	12	0	0	1	0	0	0	0	0	0	1	0
2647433	0	1455298	Heuertz, Jessica	http://stats.ncaa.org/player?game_sport_year_ctl_id=11440&stats_player_seq=1455298	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647433	0		TEAM		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
