rk,school,div,str,ofs,dfs,sos
901,IIT,D3,0.230,0.479,2.086,0.263
902,Marian (WI),D3,0.229,0.479,2.088,0.315
903,Methodist,D3,0.228,0.478,2.094,0.225
904,King's (PA),D3,0.227,0.477,2.098,0.175
905,Virginia Union,D2,0.227,0.477,2.098,0.199
906,Thiel,D3,0.226,0.476,2.102,0.258
907,Wells,D3,0.226,0.475,2.106,0.180
908,Centenary (LA),D3,0.225,0.474,2.108,0.309
909,Alvernia,D3,0.222,0.471,2.122,0.241
910,Emmanuel (MA),D3,0.221,0.470,2.126,0.246
911,Saint Vincent,D3,0.221,0.470,2.128,0.264
912,Concordia (NY),D2,0.218,0.467,2.141,0.332
913,Penn St.-Altoona,D3,0.217,0.466,2.147,0.238
914,Bethany Lutheran,D3,0.216,0.465,2.150,0.276
915,Sul Ross St.,D3,0.216,0.465,2.151,0.337
916,Alfred,D3,0.216,0.465,2.152,0.242
917,Daniel Webster,D3,0.215,0.464,2.157,0.150
918,Wesley,D3,0.214,0.463,2.161,0.235
919,East. Mennonite,D3,0.213,0.462,2.166,0.255
920,Ursinus,D3,0.213,0.461,2.168,0.259
921,Mississippi Val.,D1,0.212,0.461,2.171,0.413
922,Randolph,D3,0.212,0.460,2.174,0.293
923,Regis (MA),D3,0.212,0.460,2.174,0.213
924,Huntingdon,D3,0.211,0.460,2.176,0.252
925,Marywood,D3,0.209,0.457,2.187,0.201
926,Dominican (NY),D2,0.208,0.456,2.193,0.335
927,Monmouth (IL),D3,0.208,0.456,2.195,0.257
928,Franciscan,D3,0.206,0.454,2.202,0.265
929,St. Joseph's (L.I.),D3,0.206,0.454,2.204,0.166
930,Earlham,D3,0.206,0.453,2.205,0.317
931,Tuskegee,D2,0.205,0.453,2.206,0.241
932,Agnes Scott,D3,0.205,0.452,2.210,0.206
933,Eureka,D3,0.204,0.452,2.214,0.254
934,Colby-Sawyer,D3,0.204,0.452,2.215,0.226
935,Wm. Paterson,D3,0.204,0.451,2.215,0.145
936,Glenville St.,D2,0.203,0.450,2.221,0.409
937,Bridgewater St.,D3,0.202,0.450,2.224,0.235
938,USciences,D2,0.201,0.448,2.233,0.317
939,Knox,D3,0.200,0.447,2.236,0.285
940,Sage Colleges,D3,0.198,0.445,2.247,0.199
941,Worcester St.,D3,0.197,0.444,2.253,0.203
942,Lancaster Bible,D3,0.197,0.443,2.255,0.199
943,Rutgers-Camden,D3,0.196,0.443,2.257,0.198
944,Concordia Chicago,D3,0.196,0.443,2.257,0.283
945,Converse,D2,0.195,0.442,2.264,0.409
946,Hartwick,D3,0.195,0.442,2.265,0.233
947,Beloit,D3,0.192,0.438,2.282,0.228
948,St. Joseph's (ME),D3,0.192,0.438,2.283,0.192
949,Misericordia,D3,0.191,0.437,2.286,0.244
950,Albright,D3,0.191,0.437,2.287,0.204
951,La Roche,D3,0.191,0.437,2.290,0.212
952,Saint Augustine's,D2,0.190,0.436,2.292,0.214
953,Keuka,D3,0.190,0.436,2.296,0.182
954,Hood,D3,0.190,0.435,2.297,0.241
955,Albany St. (GA),D2,0.187,0.433,2.312,0.229
956,Wilkes,D3,0.187,0.432,2.313,0.234
957,Elmira,D3,0.185,0.430,2.323,0.236
958,Immaculata,D3,0.185,0.430,2.324,0.172
959,Alcorn,D1,0.184,0.429,2.331,0.400
960,Notre Dame (MD),D3,0.184,0.429,2.332,0.127
961,Iowa Wesleyan,D3,0.181,0.425,2.352,0.274
962,D'Youville,D3,0.180,0.424,2.357,0.208
963,Mount Holyoke,D3,0.180,0.424,2.357,0.249
964,Lasell,D3,0.178,0.422,2.368,0.210
965,Penn St. Harrisburg,D3,0.176,0.420,2.384,0.259
966,Pitt.-Greensburg,D3,0.176,0.419,2.386,0.224
967,Newbury,D3,0.175,0.418,2.390,0.161
968,Mount Aloysius,D3,0.174,0.417,2.396,0.205
969,Mt. St. Vincent,D3,0.174,0.417,2.400,0.185
970,MCLA,D3,0.173,0.416,2.405,0.163
971,Buffalo St.,D3,0.172,0.415,2.412,0.279
972,Salem Int'l,D2,0.171,0.414,2.417,0.279
973,Westfield St.,D3,0.171,0.414,2.417,0.205
974,Miles,D2,0.171,0.413,2.419,0.220
975,UMass Dartmouth,D3,0.170,0.412,2.427,0.196
976,Chatham,D3,0.166,0.408,2.451,0.268
977,Baruch,D3,0.166,0.408,2.453,0.199
978,Goucher,D3,0.166,0.407,2.456,0.245
979,Smith,D3,0.165,0.406,2.465,0.253
980,Mt. St. Mary (NY),D3,0.164,0.405,2.471,0.182
981,Paine,D2,0.163,0.404,2.473,0.218
982,Felician,D2,0.163,0.403,2.479,0.321
983,Medaille,D3,0.163,0.403,2.480,0.215
984,Penn St.-Abington,D3,0.162,0.403,2.483,0.132
985,Berea,D3,0.162,0.403,2.483,0.280
986,Curry,D3,0.161,0.401,2.492,0.181
987,MacMurray,D3,0.158,0.397,2.517,0.265
988,North Central (MN),D3,0.157,0.396,2.523,0.225
989,LeMoyne-Owen,D2,0.153,0.391,2.558,0.208
990,Cheyney,D2,0.147,0.383,2.609,0.366
991,Finlandia,D3,0.146,0.383,2.614,0.246
992,Northland,D3,0.146,0.382,2.617,0.256
993,Caltech,D3,0.142,0.377,2.652,0.456
994,Livingstone,D2,0.142,0.377,2.652,0.210
995,Alverno,D3,0.141,0.375,2.665,0.283
996,Blackburn,D3,0.140,0.374,2.674,0.251
997,Bard,D3,0.139,0.373,2.680,0.220
998,St. Joseph (CT),D3,0.137,0.370,2.701,0.164
999,Fort Valley St.,D2,0.137,0.370,2.704,0.199
1000,Rockford,D3,0.137,0.370,2.704,0.299
1001,Wilmington (OH),D3,0.136,0.369,2.712,0.349
1002,Hilbert,D3,0.135,0.368,2.720,0.224
1003,Mount Ida,D3,0.134,0.367,2.727,0.175
1004,Mary Baldwin,D3,0.133,0.365,2.739,0.235
1005,Crown (MN),D3,0.131,0.362,2.765,0.263
1006,SUNY Maritime,D3,0.130,0.361,2.774,0.126
1007,Suffolk,D3,0.130,0.360,2.777,0.185
1008,Lincoln (PA),D2,0.127,0.356,2.806,0.211
1009,Utica,D3,0.124,0.353,2.834,0.223
1010,New Jersey City,D3,0.124,0.353,2.834,0.134
1011,Penn College,D3,0.124,0.353,2.835,0.165
1012,Pfeiffer,D2,0.123,0.351,2.852,0.388
1013,St. Elizabeth,D3,0.116,0.341,2.937,0.149
1014,Waynesburg,D3,0.116,0.340,2.940,0.272
1015,Becker,D3,0.114,0.337,2.963,0.121
1016,Central St. (OH),D2,0.113,0.336,2.979,0.245
