year,team_id,team_name,wins,losses,ties,total_games
2016,26172,A&M-Corpus Chris,13,4,15,32
2016,2,Abilene Christian,0,14,15,29
2016,30123,Academy of Art,4,7,17,28
2016,929,Adams St.,2,10,14,26
2016,3,Adelphi,9,4,15,28
2016,4,Adrian,6,3,17,26
2016,11324,Agnes Scott,5,4,15,24
2016,721,Air Force,8,9,16,33
2016,5,Akron,7,8,14,29
2016,10,Ala.-Huntsville,11,3,19,33
2016,8,Alabama,6,8,18,32
2016,6,Alabama A&M,1,15,17,33
2016,7,Alabama St.,6,10,15,31
2016,11,Alas. Anchorage,12,0,16,28
2016,12,Alas. Fairbanks,0,10,17,27
2016,14,Albany (NY),6,7,11,24
2016,13,Albany St. (GA),3,7,18,28
2016,2798,Albertus Magnus,2,7,13,22
2016,15,Albion,11,4,15,30
2016,16,Albright,3,10,11,24
2016,17,Alcorn,3,11,15,29
2016,934,Alderson Broaddus,6,9,17,32
2016,18,Alfred,1,12,17,30
2016,30170,Alfred St.,10,0,13,23
2016,19,Allegheny,10,6,12,28
2016,21,Alma,5,10,13,28
2016,938,Alvernia,8,9,14,31
2016,28746,Alverno,4,10,14,28
2016,23,American,9,5,17,31
2016,22,American Int'l,6,6,13,25
2016,24,Amherst,9,1,14,24
2016,939,Anderson (IN),4,10,14,28
2016,13028,Anderson (SC),7,5,16,28
2016,25,Angelo St.,15,3,15,33
2016,26,Anna Maria,6,6,19,31
2016,27,Appalachian St.,10,4,13,27
2016,966,Arcadia,3,8,17,28
2016,29,Arizona,10,3,19,32
2016,28,Arizona St.,12,0,19,31
2016,30105,Ark.-Fort Smith,9,3,15,27
2016,8411,Ark.-Monticello,6,4,19,29
2016,2678,Ark.-Pine Bluff,2,14,17,33
2016,31,Arkansas,11,2,17,30
2016,30,Arkansas St.,12,1,13,26
2016,947,Arkansas Tech,9,5,16,30
2016,33,Armstrong,6,4,16,26
2016,725,Army West Point,10,5,14,29
2016,35,Ashland,7,4,15,26
2016,36,Assumption,4,8,13,25
2016,37,Auburn,8,4,18,30
2016,38,Augsburg,11,4,13,28
2016,40,Augustana (IL),7,6,18,31
2016,41,Augustana (SD),10,2,16,28
2016,42,Aurora,8,8,14,30
2016,953,Austin,10,4,26,40
2016,43,Austin Peay,5,11,16,32
2016,44,Averett,12,7,17,36
2016,30146,Azusa Pacific,7,4,18,29
2016,45,Babson,11,4,17,32
2016,46,Baldwin Wallace,17,3,9,29
2016,47,Ball St.,8,8,14,30
2016,962,Bard,7,8,16,31
2016,49,Barry,4,3,19,26
2016,15646,Barton,5,7,14,26
2016,58,Baruch,7,12,15,34
2016,50,Bates,4,5,15,24
2016,26520,Bay Path,5,5,10,20
2016,51,Baylor,11,2,17,30
2016,26107,Becker,6,6,16,28
2016,52,Bellarmine,6,7,17,30
2016,14927,Belmont,5,8,15,28
2016,2683,Belmont Abbey,7,5,18,30
2016,53,Beloit,3,10,11,24
2016,54,Bemidji St.,4,9,16,29
2016,55,Benedict,4,4,20,28
2016,296,Benedictine (IL),6,7,17,30
2016,56,Bentley,8,4,15,27
2016,30171,Berea,4,6,4,14
2016,973,Berry,12,3,14,29
2016,59,Bethany (WV),14,5,17,36
2016,30038,Bethany Lutheran,2,10,12,24
2016,60,Bethel (MN),11,6,12,29
2016,61,Bethune-Cookman,3,11,14,28
2016,62,Binghamton,3,12,12,27
2016,28593,Birmingham-So.,10,2,14,26
2016,30134,Black Hills St.,4,7,15,26
2016,64,Blackburn,0,14,13,27
2016,984,Bloomfield,9,1,17,27
2016,985,Bluefield St.,5,4,20,29
2016,987,Bluffton,10,6,14,30
2016,66,Boise St.,8,6,16,30
2016,67,Boston College,8,5,19,32
2016,69,Bowdoin,6,3,15,24
2016,70,Bowie St.,4,10,19,33
2016,71,Bowling Green,4,10,15,29
2016,72,Bradley,5,8,17,30
2016,73,Brandeis,3,11,15,29
2016,30094,Brevard,3,8,17,28
2016,74,Bridgeport,6,6,19,31
2016,75,Bridgewater (VA),3,11,15,29
2016,76,Bridgewater St.,7,9,13,29
2016,78,Brockport,16,1,15,32
2016,79,Brooklyn,4,7,16,27
2016,80,Brown,6,6,14,26
2016,81,Bryant,9,8,15,32
2016,30188,Bryn Athyn,6,4,11,21
2016,82,Bryn Mawr,5,8,11,24
2016,83,Bucknell,6,5,16,27
2016,84,Buena Vista,12,8,14,34
2016,86,Buffalo,1,12,15,28
2016,85,Buffalo St.,8,8,14,30
2016,87,Butler,5,10,15,30
2016,77,BYU,11,2,16,29
2016,2685,BYU-Hawaii,4,6,18,28
2016,88,Cabrini,9,5,18,32
2016,1305,Cairn,0,11,10,21
2016,105,Cal Lutheran,12,2,14,28
2016,90,Cal Poly,8,3,16,27
2016,91,Cal Poly Pomona,8,5,15,28
2016,92,Cal St. Dom. Hills,3,10,15,28
2016,98,Cal St. East Bay,3,8,17,28
2016,97,Cal St. Fullerton,0,13,15,28
2016,100,Cal St. L.A.,10,3,16,29
2016,30055,Cal St. Monterey Bay,3,7,15,25
2016,93,Cal St. San B'dino,10,2,16,28
2016,30198,Cal St. San Marcos,3,10,15,28
2016,103,Cal St. Stanislaus,8,3,15,26
2016,995,Caldwell,9,4,19,32
2016,107,California,6,6,19,31
2016,106,California (PA),4,8,20,32
2016,30135,California Baptist,9,2,17,28
2016,89,Caltech,0,8,17,25
2016,114,Calvin,12,3,14,29
2016,996,Cameron,11,0,16,27
2016,115,Campbell,5,9,14,28
2016,116,Canisius,4,11,15,30
2016,117,Capital,4,13,12,29
2016,118,Carleton,9,5,9,23
2016,119,Carnegie Mellon,16,2,13,31
2016,120,Carroll (WI),4,11,13,28
2016,1000,Carson-Newman,9,2,20,31
2016,121,Carthage,13,2,21,36
2016,122,Case,14,1,13,28
2016,123,Castleton,6,4,12,22
2016,1001,Catawba,7,7,15,29
2016,124,Catholic,9,7,16,32
2016,23624,Cazenovia,4,7,14,25
2016,480,CCNY,4,15,17,36
2016,14795,Cedar Crest,1,12,10,23
2016,30124,Cedarville,6,8,18,32
2016,125,Centenary (LA),3,12,18,33
2016,12884,Centenary (NJ),1,8,12,21
2016,126,Central (IA),9,6,18,33
2016,1004,Central Ark.,6,9,13,28
2016,127,Central Conn. St.,8,5,14,27
2016,129,Central Mich.,5,9,15,29
2016,130,Central Mo.,13,2,16,31
2016,1009,Central Okla.,13,1,18,32
2016,30049,Central St. (OH),0,8,21,29
2016,1010,Central Wash.,6,4,17,27
2016,132,Centre,6,8,15,29
2016,1012,Chadron St.,2,8,16,26
2016,133,Chaminade,10,1,17,28
2016,134,Chapman,7,3,14,24
2016,1013,Charleston (WV),5,6,18,29
2016,48,Charleston So.,4,14,14,32
2016,458,Charlotte,4,8,15,27
2016,10972,Chatham,1,13,16,30
2016,693,Chattanooga,13,2,14,29
2016,21323,Chestnut Hill,4,11,19,34
2016,135,Cheyney,1,8,24,33
2016,137,Chicago,12,4,14,30
2016,136,Chicago St.,1,14,13,28
2016,95,Chico St.,11,4,15,30
2016,8875,Chowan,6,3,16,25
2016,139,Chris. Newport,14,2,14,30
2016,1015,Christian Bros.,5,6,16,27
2016,140,Cincinnati,9,4,18,31
2016,141,Citadel,6,11,17,34
2016,30058,Claflin,6,6,20,32
2016,142,Claremont-M-S,12,3,14,29
2016,143,Clarion,7,7,21,35
2016,145,Clark (MA),12,1,14,27
2016,144,Clark Atlanta,1,2,20,23
2016,146,Clarkson,12,3,18,33
2016,147,Clemson,5,8,19,32
2016,148,Cleveland St.,13,3,14,30
2016,722,Coast Guard,7,4,17,28
2016,149,Coastal Caro.,10,4,12,26
2016,30083,Cobleskill St.,4,9,13,26
2016,150,Coe,14,7,15,36
2016,1023,Coker,2,7,19,28
2016,1014,Col. of Charleston,8,7,15,30
2016,151,Colby,6,4,15,25
2016,152,Colby-Sawyer,2,15,17,34
2016,153,Colgate,4,10,13,27
2016,11403,Colo. Christian,8,5,17,30
2016,157,Colorado,8,5,19,32
2016,154,Colorado Col.,14,1,21,36
2016,11416,Colorado Mesa,4,7,15,26
2016,155,Colorado Mines,8,3,17,28
2016,156,Colorado St.,9,3,17,29
2016,2720,Colorado St.-Pueblo,4,8,14,26
2016,158,Columbia,3,7,13,23
2016,159,Columbus St.,2,9,19,30
2016,1028,Concord,1,14,19,34
2016,30199,Concordia (CA),5,7,17,29
2016,162,Concordia (NY),2,2,16,20
2016,24400,Concordia (TX),3,4,15,22
2016,160,Concordia Chicago,6,9,15,30
2016,30200,Concordia Portland,9,2,17,28
2016,1036,Concordia Wisconsin,9,6,15,30
2016,161,Concordia-M'head,9,3,14,26
2016,9081,Concordia-St. Paul,9,3,16,28
2016,163,Connecticut Col.,4,3,17,24
2016,8935,Converse,3,7,17,27
2016,165,Coppin St.,4,8,11,23
2016,167,Cornell,4,7,13,24
2016,166,Cornell College,4,10,13,27
2016,30111,Covenant,4,8,16,28
2016,169,Creighton,7,7,17,31
2016,30035,Crown (MN),4,7,18,29
2016,94,CSU Bakersfield,3,10,13,26
2016,101,CSUN,2,11,11,24
2016,170,Curry,5,6,13,24
2016,1059,D'Youville,3,12,11,26
2016,30174,Daemen,6,7,16,29
2016,1044,Dallas,7,7,18,32
2016,1045,Dallas Baptist,6,4,16,26
2016,2691,Daniel Webster,3,9,16,28
2016,172,Dartmouth,4,6,13,23
2016,173,Davidson,6,8,14,28
2016,174,Davis & Elkins,1,11,15,27
2016,175,Dayton,8,5,17,30
2016,1050,Defiance,4,13,11,28
2016,180,Delaware,8,6,15,29
2016,178,Delaware St.,2,12,14,28
2016,179,Delaware Valley,1,6,15,22
2016,182,Denison,7,5,13,25
2016,183,Denver,13,3,16,32
2016,176,DePaul,11,2,18,31
2016,177,DePauw,9,5,13,27
2016,20,DeSales,11,5,15,31
2016,185,Dickinson,5,10,11,26
2016,30095,Dixie St.,5,7,17,29
2016,30118,Dominican (CA),3,6,17,26
2016,1332,Dominican (IL),14,6,14,34
2016,8956,Dominican (NY),1,13,18,32
2016,2692,Dowling,9,4,18,31
2016,189,Drake,10,8,17,35
2016,1057,Drury,11,2,16,29
2016,192,Dubuque,7,7,20,34
2016,193,Duke,6,6,18,30
2016,194,Duquesne,6,9,13,28
2016,195,Earlham,4,13,10,27
2016,196,East Carolina,7,5,19,31
2016,8965,East Central,3,8,17,28
2016,197,East Stroudsburg,5,9,18,32
2016,1062,East Tex. Baptist,10,3,13,26
2016,203,East. Mennonite,6,7,12,25
2016,8968,Eastern,15,3,18,36
2016,200,Eastern Conn. St.,5,7,17,29
2016,201,Eastern Ill.,6,9,15,30
2016,202,Eastern Ky.,2,15,15,32
2016,204,Eastern Mich.,8,6,15,29
2016,206,Eastern N.M.,6,8,18,32
2016,1064,Eastern Nazarene,3,12,14,29
2016,207,Eastern Wash.,7,6,14,27
2016,208,Eckerd,5,6,16,27
2016,1066,Edgewood,9,9,16,34
2016,209,Edinboro,13,2,20,35
2016,210,Elizabeth City St.,0,7,12,19
2016,211,Elizabethtown,10,7,16,33
2016,212,Elmhurst,12,5,16,33
2016,213,Elmira,7,4,17,28
2016,532,Elms,2,10,12,24
2016,1068,Elon,3,11,16,30
2016,9680,Embry-Riddle (FL),9,2,20,31
2016,214,Emerson,6,6,13,25
2016,30193,Emmanuel (GA),7,6,16,29
2016,215,Emmanuel (MA),2,8,16,26
2016,217,Emory,15,2,15,32
2016,216,Emory & Henry,5,7,17,29
2016,1071,Emporia St.,6,5,17,28
2016,8981,Endicott,11,5,14,30
2016,1072,Erskine,5,5,15,25
2016,198,ETSU,10,5,14,29
2016,218,Eureka,2,11,14,27
2016,219,Evansville,6,9,17,32
2016,220,Fairfield,5,7,16,28
2016,222,Fairleigh Dickinson,6,8,16,30
2016,1076,Fairmont St.,8,5,17,30
2016,27892,Farmingdale St.,5,5,16,26
2016,223,Fayetteville St.,3,6,15,24
2016,221,FDU-Florham,14,3,18,35
2016,23157,Felician,2,12,17,31
2016,224,Ferris St.,12,1,16,29
2016,225,Ferrum,7,6,18,31
2016,28755,FGCU,9,6,16,31
2016,1079,Findlay,9,3,18,30
2016,30032,Finlandia,5,7,12,24
2016,231,FIU,8,5,14,27
2016,229,Fla. Atlantic,9,5,14,28
2016,233,Fla. Southern,12,0,18,30
2016,30092,Flagler,8,3,16,27
2016,235,Florida,9,1,18,28
2016,228,Florida A&M,1,13,13,27
2016,234,Florida St.,8,4,19,31
2016,230,Florida Tech,7,3,18,28
2016,11538,Fontbonne,8,10,13,31
2016,236,Fordham,6,11,14,31
2016,9011,Fort Hays St.,8,6,19,33
2016,1083,Fort Lewis,2,8,15,25
2016,237,Fort Valley St.,1,3,20,24
2016,238,Framingham St.,12,2,17,31
2016,1085,Francis Marion,9,4,16,29
2016,30069,Franciscan,5,10,16,31
2016,239,Frank. & Marsh.,8,6,14,28
2016,2694,Franklin,6,9,15,30
2016,241,Franklin Pierce,8,5,14,27
2016,242,Fredonia,15,3,16,34
2016,30147,Fresno Pacific,1,7,17,25
2016,96,Fresno St.,8,6,18,32
2016,243,Frostburg St.,9,7,16,32
2016,244,Furman,7,4,15,26
2016,253,Ga. Southern,5,9,14,28
2016,245,Gallaudet,6,3,23,32
2016,246,Gannon,9,3,20,32
2016,1092,Gardner-Webb,4,12,15,31
2016,30084,Geneva,14,1,18,33
2016,1094,George Fox,4,6,14,24
2016,248,George Mason,5,10,14,29
2016,249,George Washington,11,5,14,30
2016,251,Georgetown,6,8,17,31
2016,257,Georgia,5,7,18,30
2016,1096,Georgia College,6,6,16,28
2016,254,Georgia St.,4,9,13,26
2016,255,Georgia Tech,10,3,19,32
2016,9004,Georgian Court,6,7,21,34
2016,258,Gettysburg,8,7,12,27
2016,1098,Glenville St.,1,8,23,32
2016,8366,Goldey-Beacom,4,7,17,28
2016,260,Gonzaga,11,4,16,31
2016,1099,Gordon,8,7,13,28
2016,1467,Goucher,6,9,15,30
2016,261,Grambling,3,9,21,33
2016,1104,Grand Canyon,2,11,13,26
2016,262,Grand Valley St.,8,4,14,26
2016,794,Green Bay,10,6,13,29
2016,11062,Green Mountain,0,11,10,21
2016,263,Greensboro,5,10,16,31
2016,1111,Greenville,8,5,16,29
2016,264,Grinnell,0,11,10,21
2016,265,Grove City,5,10,16,31
2016,39,GRU Augusta,8,3,21,32
2016,1112,Guilford,3,9,12,24
2016,266,Gust. Adolphus,12,2,14,28
2016,12399,Gwynedd Mercy,5,10,13,28
2016,267,Hamilton,1,8,15,24
2016,268,Hamline,7,6,13,26
2016,270,Hampton,0,13,12,25
2016,1115,Hanover,9,7,13,29
2016,271,Hardin-Simmons,7,6,16,29
2016,1116,Harding,5,9,16,30
2016,272,Hartford,0,15,14,29
2016,273,Hartwick,4,13,14,31
