year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2013	11180	26172	A&M-Corpus Chris	-	Totals	-	-	-	109	 	1,454	693	4,101	0.186	1,339	163	237	1,765	51	353	28	1,844.5	36
2013	11180	26172	A&M-Corpus Chris	-	Opponent Totals	-	-	-	109	 	1,217	613	3,895	0.155	1,134	129	191	1,672	41	458	51	1,616.0	31
2013	11180	721	Air Force	-	Totals	-	-	-	109	 	1,308	689	3,798	0.163	1,237	103	183	1,462	32	328	69	1,607.0	33
2013	11180	721	Air Force	-	Opponent Totals	-	-	-	109	 	1,438	588	3,678	0.231	1,331	107	204	1,516	44	541	83	1,859.5	17
2013	11180	5	Akron	-	Totals	-	-	-	106	 	1,439	592	3,914	0.216	1,349	136	238	1,656	89	244	32	1,786.0	28
2013	11180	5	Akron	-	Opponent Totals	-	-	-	106	 	1,307	575	3,798	0.193	1,207	106	180	1,565	75	288	53	1,632.0	19
2013	11180	8	Alabama	-	Totals	-	-	-	119	 	1,541	584	4,116	0.233	1,436	145	189	1,722	49	290	62	1,880.0	32
2013	11180	8	Alabama	-	Opponent Totals	-	-	-	119	 	1,512	613	4,104	0.219	1,434	143	215	1,740	52	370	67	1,892.0	54
2013	11180	6	Alabama A&M	-	Totals	-	-	-	110	 	1,245	573	3,407	0.197	1,117	135	193	1,312	42	269	56	1,556.5	23
2013	11180	6	Alabama A&M	-	Opponent Totals	-	-	-	110	 	1,389	564	3,541	0.233	1,265	181	222	1,389	48	293	26	1,764.5	51
2013	11180	7	Alabama St.	-	Totals	-	-	-	125	 	1,324	741	3,726	0.156	1,220	152	265	1,303	58	232	68	1,650.0	44
2013	11180	7	Alabama St.	-	Opponent Totals	-	-	-	125	 	1,455	592	3,558	0.243	1,316	219	276	1,469	65	304	58	1,891.0	42
2013	11180	14	Albany (NY)	-	Totals	-	-	-	-	-	105	 	1,231	518	3,859	0.185	1,131	128	105	1,802	55	270	33	1,549.0	37
2013	11180	14	Albany (NY)	-	Opponent Totals	-	-	-	-	-	105	 	1,475	609	4,137	0.209	1,383	124	160	1,901	27	301	43	1,776.5	39
2013	11180	17	Alcorn	-	Totals	-	-	-	-	-	90	 	555	566	2,025	-0.005	420	113	162	797	40	74	53	745.0	33
2013	11180	17	Alcorn	-	Opponent Totals	-	-	-	-	-	90	 	983	310	2,043	0.329	871	269	192	921	51	167	31	1,386.5	12
2013	11180	23	American	-	Totals	-	-	-	112	 	1,345	553	3,619	0.219	1,198	164	221	1,495	104	427	21	1,826.5	30
2013	11180	23	American	-	Opponent Totals	-	-	-	112	 	1,263	747	3,851	0.134	1,166	118	198	1,496	45	293	23	1,572.5	28
2013	11180	27	Appalachian St.	-	Totals	-	-	-	107	 	1,225	621	4,037	0.150	1,144	100	157	1,751	53	360	25	1,558.0	38
2013	11180	27	Appalachian St.	-	Opponent Totals	-	-	-	107	 	1,476	624	4,091	0.208	1,360	137	161	1,871	49	415	48	1,869.5	45
2013	11180	29	Arizona	-	Totals	-	-	-	109	 	1,451	603	3,795	0.223	1,368	124	176	1,568	60	372	55	1,821.0	11
2013	11180	29	Arizona	-	Opponent Totals	-	-	-	109	 	1,401	578	3,810	0.216	1,288	124	210	1,479	43	331	43	1,733.5	18
2013	11180	28	Arizona St.	-	Totals	-	-	-	-	-	131	 	1,827	797	4,860	0.212	1,708	156	213	1,968	45	466	47	2,261.0	17
2013	11180	28	Arizona St.	-	Opponent Totals	-	-	-	-	-	131	 	1,590	667	4,556	0.203	1,510	100	204	1,875	55	665	54	2,077.5	27
2013	11180	2678	Ark.-Pine Bluff	-	Totals	-	-	-	91	 	979	628	2,870	0.122	884	162	213	1,105	36	124	44	1,239.0	43
2013	11180	2678	Ark.-Pine Bluff	-	Opponent Totals	-	-	-	91	 	939	433	2,624	0.193	818	166	190	1,120	58	200	57	1,263.0	43
2013	11180	31	Arkansas	-	Totals	-	-	-	123	 	1,707	638	4,313	0.248	1,584	120	191	1,841	57	395	67	2,081.5	31
2013	11180	31	Arkansas	-	Opponent Totals	-	-	-	123	 	1,500	689	4,311	0.188	1,406	123	220	1,695	43	419	74	1,875.5	33
2013	11180	30	Arkansas St.	-	Totals	-	-	-	-	-	119	 	1,664	760	4,391	0.206	1,549	99	208	1,828	50	327	37	1,976.5	8
2013	11180	30	Arkansas St.	-	Opponent Totals	-	-	-	-	-	119	 	1,521	621	4,237	0.212	1,389	108	190	1,692	72	405	53	1,903.5	23
2013	11180	725	Army West Point	-	Totals	-	-	-	95	 	1,310	557	3,788	0.199	1,226	109	199	1,739	48	285	38	1,609.5	58
2013	11180	725	Army West Point	-	Opponent Totals	-	-	-	95	 	1,027	548	3,573	0.134	981	76	157	1,659	69	222	44	1,283.0	35
2013	11180	37	Auburn	-	Totals	-	-	-	109	 	1,464	598	4,009	0.216	1,378	104	183	1,809	63	390	40	1,826.0	52
2013	11180	37	Auburn	-	Opponent Totals	-	-	-	109	 	1,356	625	4,041	0.181	1,259	127	198	1,700	63	324	57	1,708.0	30
2013	11180	43	Austin Peay	-	Totals	-	-	-	121	 	1,593	611	4,350	0.226	1,491	136	197	1,841	68	292	79	1,943.0	52
2013	11180	43	Austin Peay	-	Opponent Totals	-	-	-	121	 	1,622	656	4,374	0.221	1,512	120	204	1,835	60	323	60	1,963.5	31
2013	11180	77	BYU	-	Totals	-	-	-	-	-	112	 	1,580	418	3,741	0.311	1,457	142	139	1,642	42	586	41	2,057.0	13
2013	11180	77	BYU	-	Opponent Totals	-	-	-	-	-	112	 	1,365	715	4,030	0.161	1,286	122	190	1,543	27	278	52	1,653.0	20
