year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	height	class_year	games_played	games_started
2016	12221	26172	A&M-Corpus Chris	4	1338780.0	Baresh, Ivy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1338780.0	OH	5-9	Sr	60	0
2016	12221	26172	A&M-Corpus Chris	6	1459400.0	Carlson, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1459400.0	RS	6-0	Jr	65	0
2016	12221	26172	A&M-Corpus Chris	5	1565945.0	Doud, Madeleine	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565945.0	MB	6-1	So	68	0
2016	12221	26172	A&M-Corpus Chris	16	1565953.0	Felux, Kelsee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565953.0	MB	5-11	Sr	54	0
2016	12221	26172	A&M-Corpus Chris	18		Flores, Hannah		RS	6-0	Fr	0	0
2016	12221	26172	A&M-Corpus Chris	2	1565944.0	Gilpin, Brittany	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565944.0	MB	5-10	So	65	0
2016	12221	26172	A&M-Corpus Chris	17	1338784.0	King, Hailey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1338784.0	L/DS	5-8	Sr	71	0
2016	12221	26172	A&M-Corpus Chris	11	1565948.0	Klepetka, Kate	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565948.0	DS	5-8	So	68	0
2016	12221	26172	A&M-Corpus Chris	3	1338779.0	Maldonado, Shayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1338779.0	L/DS	5-7	Sr	50	0
2016	12221	26172	A&M-Corpus Chris	7	1565946.0	McGarva, Kirstee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565946.0	OH	5-10	So	40	0
2016	12221	26172	A&M-Corpus Chris	13	1677784.0	Moran, Mallory	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1677784.0	OH	5-11	Fr	23	0
2016	12221	26172	A&M-Corpus Chris	14	1565950.0	Nicholson, Kristyn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565950.0	S	6-0	So	77	0
2016	12221	26172	A&M-Corpus Chris	8	1565947.0	Stanford, Chelby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1565947.0	S	5-8	Sr	3	0
2016	12221	26172	A&M-Corpus Chris	15	1677785.0	Vickers, Libbie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1677785.0	OH	5-9	Fr	16	0
2016	12221	26172	A&M-Corpus Chris	9	1677770.0	Williams, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12221&stats_player_seq=1677770.0	MB	6-1	Fr	30	0
