year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	exempt	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2017	12426	26172	A&M-Corpus Chris	08/26/2016	Prairie View @ Waco, Texas		Prairie View	http://stats.ncaa.org/team/553/12426	true	Waco, Texas	false	W 3 - 0	true	3 - 0	false	3	0	false		4156401	http://stats.ncaa.org/game/index/4156401?org_id=26172
2017	12426	26172	A&M-Corpus Chris	08/27/2016	@ Baylor		Baylor	http://stats.ncaa.org/team/51/12426	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4156476	http://stats.ncaa.org/game/index/4156476?org_id=51
2017	12426	26172	A&M-Corpus Chris	08/27/2016	UTRGV @ Waco, Texas		UTRGV	http://stats.ncaa.org/team/536/12426	true	Waco, Texas	false	W 3 - 2	true	3 - 2	false	3	2	false		4157637	http://stats.ncaa.org/game/index/4157637?org_id=536
2017	12426	26172	A&M-Corpus Chris	09/03/2016	San Diego @ Madison, Wis.		San Diego	http://stats.ncaa.org/team/627/12426	true	Madison, Wis.	false	L 0 - 3	false	0 - 3	false	0	3	false		4162359	http://stats.ncaa.org/game/index/4162359?org_id=26172
2017	12426	26172	A&M-Corpus Chris	09/04/2016	@ Wisconsin		Wisconsin	http://stats.ncaa.org/team/796/12426	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4161157	http://stats.ncaa.org/game/index/4161157?org_id=796
2017	12426	26172	A&M-Corpus Chris	09/06/2016	UTRGV		UTRGV	http://stats.ncaa.org/team/536/12426	false		true	W 3 - 1	true	3 - 1	false	3	1	false		4163284	http://stats.ncaa.org/game/index/4163284?org_id=26172
2017	12426	26172	A&M-Corpus Chris	09/09/2016	UNLV		UNLV	http://stats.ncaa.org/team/465/12426	false		true	L 1 - 3	false	1 - 3	false	1	3	false		4165766	http://stats.ncaa.org/game/index/4165766?org_id=26172
2017	12426	26172	A&M-Corpus Chris	09/10/2016	UT Arlington		UT Arlington		false		true	-									
2017	12426	26172	A&M-Corpus Chris	09/13/2016	Texas St.		Texas St.		false		true	-									
2017	12426	26172	A&M-Corpus Chris	09/16/2016	Houston@Houston, TX		Houston		true	Houston, TX	false	-									
2017	12426	26172	A&M-Corpus Chris	09/17/2016	Yale@Houston, TX		Yale		true	Houston, TX	false	-									
2017	12426	26172	A&M-Corpus Chris	09/17/2016	@ Rice		Rice		false		false	-									
2017	12426	26172	A&M-Corpus Chris	09/20/2016	@ Sam Houston St.		Sam Houston St.		false		false	-									
2017	12426	26172	A&M-Corpus Chris	09/22/2016	Abilene Christian		Abilene Christian		false		true	-									
2017	12426	26172	A&M-Corpus Chris	09/29/2016	@ Northwestern St.		Northwestern St.		false		false	-									
2017	12426	26172	A&M-Corpus Chris	10/01/2016	@ Central Ark.		Central Ark.		false		false	-									
2017	12426	26172	A&M-Corpus Chris	10/06/2016	SFA		SFA		false		true	-									
2017	12426	26172	A&M-Corpus Chris	10/08/2016	Sam Houston St.		Sam Houston St.		false		true	-									
2017	12426	26172	A&M-Corpus Chris	10/11/2016	@ UTRGV		UTRGV		false		false	-									
2017	12426	26172	A&M-Corpus Chris	10/13/2016	Houston Baptist		Houston Baptist		false		true	-									
2017	12426	26172	A&M-Corpus Chris	10/15/2016	Lamar University		Lamar University		false		true	-									
2017	12426	26172	A&M-Corpus Chris	10/20/2016	@ New Orleans		New Orleans		false		false	-									
2017	12426	26172	A&M-Corpus Chris	10/22/2016	@ Southeastern La.		Southeastern La.		false		false	-									
2017	12426	26172	A&M-Corpus Chris	10/29/2016	Incarnate Word		Incarnate Word		false		true	-									
2017	12426	26172	A&M-Corpus Chris	11/01/2016	@ Incarnate Word		Incarnate Word		false		false	-									
2017	12426	26172	A&M-Corpus Chris	11/03/2016	McNeese		McNeese		false		true	-									
2017	12426	26172	A&M-Corpus Chris	11/05/2016	Nicholls St.		Nicholls St.		false		true	-									
2017	12426	26172	A&M-Corpus Chris	11/10/2016	@ Lamar University		Lamar University		false		false	-									
2017	12426	26172	A&M-Corpus Chris	11/12/2016	@ Houston Baptist		Houston Baptist		false		false	-									
2017	12426	2	Abilene Christian	08/26/2016	@ New Mexico		New Mexico	http://stats.ncaa.org/team/473/12426	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4155857	http://stats.ncaa.org/game/index/4155857?org_id=473
2017	12426	2	Abilene Christian	08/26/2016	Idaho @ Albuquerque, N.M.		Idaho	http://stats.ncaa.org/team/295/12426	true	Albuquerque, N.M.	false	L 1 - 3	false	1 - 3	false	1	3	false		4155943	http://stats.ncaa.org/game/index/4155943?org_id=295
2017	12426	2	Abilene Christian	08/27/2016	Fairfield @ Albuquerque, N.M.		Fairfield	http://stats.ncaa.org/team/220/12426	true	Albuquerque, N.M.	false	L 0 - 3	false	0 - 3	false	0	3	false		4156374	http://stats.ncaa.org/game/index/4156374?org_id=2
