BEGIN
 rd |           name           |   p   
----+--------------------------+-------
  2 | Minnesota                | 1.000
  2 | Texas                    | 1.000
  2 | Penn St.                 | 1.000
  2 | Ohio St.                 | 1.000
  2 | Nebraska                 | 0.999
  2 | Florida                  | 0.998
  2 | Louisville               | 0.997
  2 | Washington               | 0.996
  2 | Southern California      | 0.996
  2 | Kansas                   | 0.995
  2 | UCLA                     | 0.980
  2 | Stanford                 | 0.948
  2 | BYU                      | 0.945
  2 | Illinois                 | 0.939
  2 | Wisconsin                | 0.866
  2 | North Carolina           | 0.863
  2 | Texas A&M                | 0.858
  2 | Creighton                | 0.786
  2 | Kentucky                 | 0.759
  2 | San Diego                | 0.752
  2 | Missouri                 | 0.724
  2 | Hawaii                   | 0.713
  2 | Marquette                | 0.686
  2 | Iowa St.                 | 0.680
  2 | Kansas St.               | 0.650
  2 | Dayton                   | 0.638
  2 | Michigan St.             | 0.622
  2 | Colorado St.             | 0.609
  2 | Arizona                  | 0.586
  2 | Florida St.              | 0.560
  2 | Purdue                   | 0.528
  2 | Santa Clara              | 0.517
  2 | Michigan                 | 0.483
  2 | SMU                      | 0.472
  2 | Arizona St.              | 0.440
  2 | Western Ky.              | 0.414
  2 | Loyola Marymount         | 0.391
  2 | Arkansas St.             | 0.378
  2 | Villanova                | 0.362
  2 | Wichita St.              | 0.350
  2 | Miami (FL)               | 0.320
  2 | UNI                      | 0.314
  2 | TCU                      | 0.287
  2 | Missouri St.             | 0.276
  2 | Northern Ariz.           | 0.248
  2 | American                 | 0.241
  2 | Coastal Caro.            | 0.214
  2 | Texas A&M Corpus Christi | 0.142
  2 | UNCW                     | 0.137
  2 | Oregon                   | 0.134
  2 | Southern Ill.            | 0.061
  2 | Ohio                     | 0.055
  2 | New Mexico St.           | 0.052
  2 | Lipscomb                 | 0.020
  2 | Furman                   | 0.005
  2 | Cleveland St.            | 0.004
  2 | Denver                   | 0.004
  2 | Belmont                  | 0.003
  2 | New Hampshire            | 0.002
  2 | Harvard                  | 0.001
  2 | Jackson St.              | 0.000
  2 | Fairfield                | 0.000
  2 | Robert Morris            | 0.000
  2 | Howard                   | 0.000
  3 | Minnesota                | 0.977
